company_name,domain_name,stars,reviews,full_address,details_adress,position,hours,marcket_site,web_site,email,phone_number
Pizzarito NY Pizza By The Slice,Pizza restaurant,4.8 stars ,762 reviews,"4371 Glencoe Ave Ste B-7, Marina Del Rey, CA 90292, United States",Located in: Villa Marina Marketplace Mall,"XHM6+R5 Marina Del Rey, California, USA",,,http://pizzarito.com/,,+1 3108237333
Heirloom Pizzeria,Pizza restaurant,4.8 stars ,266 reviews,"7368 Melrose Ave, Los Angeles, CA 90046, United States",,"3JMX+8Q Los Angeles, California, USA",,,https://www.heirloom-pizzeria.com/,,+1 3232723210
Esco's New York Style Pizza,Pizza restaurant,4.7 stars ,345 reviews,"4972 W Pico Blvd # 101, Los Angeles, CA 90019, United States",,"2MW3+XQ Los Angeles, California, USA",,,https://www.escospizzala.com/,,+1 4244282826
Wall ST Pizza,Pizza restaurant,4.4 stars ,303 reviews,"11955 Washington Blvd #101, Los Angeles, CA 90066, United States",Located in: The Oliver,"XHXH+57 Los Angeles, California, USA",,,http://www.wallst.pizza/,,+1 4245002019
Damores Pizza MALIBU,Pizza restaurant,4.7 stars ,"1,271 reviews","22601 CA-1, Malibu, CA 90265, United States",,"28QM+W5 Malibu, California, USA",,,https://damoresfamouspizza.com/,,+1 3103174500
Pazzo Pizzeria,Pizza restaurant,4.7 stars ,183 reviews,"11104 W Olympic Blvd, Los Angeles, CA 90064, United States",Located in: LaMancha Shopping Center,"2HQ6+VR Los Angeles, California, USA",,,http://pazzopizzeriala.net/,,+1 3104733832
Pizzeria Bianco,Pizza restaurant,4.5 stars ,586 reviews,"1320 E 7th St Suite 100, Los Angeles, CA 90021, United States",Floor 1 · ROW DTLA,"2QM5+P9 Los Angeles, California, USA",,,https://www.pizzeriabianco.com/los-angeles,,+1 2133725155
Pizzeria Sei,Pizza restaurant,4.6 stars ,624 reviews,"8781 W Pico Blvd, Los Angeles, CA 90035, United States",,"3J38+XJ Los Angeles, California, USA",,,http://www.pizzeriasei.com/,,+1 4242799800
Prince Street Pizza,Pizza restaurant,4.3 stars ,476 reviews,"827 E 3rd St, Los Angeles, CA 90013, United States",,"2QW7+CQ Los Angeles, California, USA",,,https://locations.princestreetpizza.com/downtown-la,,+1 2132668355
Pizza Wagon of Brooklyn,Pizza restaurant,4.6 stars ,402 reviews,"14522 1/2 Ventura Blvd, Sherman Oaks, CA 91403, United States",,"5H22+95 Sherman Oaks, Los Angeles, CA, USA",,,https://www.pizzawagonofbrooklynmenu.com/?fbclid=IwAR2MEAdPda-mEp-yKLQjvTJt-iBo5t-SVnAlYhHeK-cXbTusRgSEmSpnOSI,,+1 8186161492
Joe’s Pizza Beverly Hills,Pizza restaurant,4.4 stars ,209 reviews,"9527 S Santa Monica Blvd, Beverly Hills, CA 90210, United States",,"3HCW+52 Beverly Hills, California, USA",,,http://www.joespizza.it/,,+1 3102853995
SaMo Pizza,Pizza restaurant,4.7 stars ,638 reviews,"1711 Pico Blvd, Santa Monica, CA 90405, United States",,"2G9G+7X Santa Monica, California, USA",,,https://samopizzaca.com/?utm_source=google,,+1 3103920092
The Coop Pizza,Pizza restaurant,4.8 stars ,424 reviews,"10006 National Blvd, Los Angeles, CA 90034, United States",,"2HHW+HJ Los Angeles, California, USA",,,,,+1 3108374462
Bonello's New York Pizza,Pizza restaurant,4.6 stars ,391 reviews,"20120 Anza Ave, Torrance, CA 90503, United States",,"RJXQ+P8 Torrance, California, USA",,,,,+1 3105426131
Proper Pizza and Pasta,Pizza restaurant,4.7 stars ,216 reviews,"8570 W 3rd St, Los Angeles, CA 90048, United States",Located in: Lee's Liquors - The Wine Center,"3JFC+97 Los Angeles, California, USA",,,http://eatproperpizza.com/,,+1 4242799078
Pizza La Italiana,Pizza restaurant,4.7 stars ,134 reviews,"2122 W Francisquito Ave, West Covina, CA 91790, United States",,"326P+5H West Covina, California, USA",,,https://pizzalaitaliana.com/,,+1 6264307674
Tarantino's Pizzeria Inc,Pizza restaurant,4.6 stars ,603 reviews,"784 E Green St, Pasadena, CA 91101, United States",,"4VV8+P8 Pasadena, California, USA",,,https://www.tarantinos-pizzeria.com/,,+1 6267967836
Joe's Pizza,Pizza restaurant,4.4 stars ,"1,482 reviews","111 Broadway, Santa Monica, CA 90401, United States",Floor 1 · Downtown Santa Monica,"2G73+6G Santa Monica, California, USA",,,http://joespizza.com/,,+1 3103959222
D'Amore's Pizza,Pizza restaurant,4.7 stars ,523 reviews,"2869 Thousand Oaks Blvd, Thousand Oaks, CA 91362, United States",Located in: Skyline center,"55C6+PW Thousand Oaks, California, USA",,,http://www.damorespizzathousandoaks.com/,,+1 8054960030
Lamonica's NY Pizza,Pizza restaurant,4.6 stars ,"1,008 reviews","1066 Gayley Ave, Los Angeles, CA 90024, United States",,"3H63+97 Los Angeles, California, USA",,,http://www.lamonicasnypizza.com/,,+1 3102088671
786 Degrees Pizza - Los Angeles,Pizza restaurant,4.7 stars ,"1,619 reviews","8879 Laurel Canyon Blvd # A, Sun Valley, CA 91352, United States",,"6HJW+5W Sun Valley, Los Angeles, CA, USA",,,http://www.786degrees.com/,,+1 8189396566
Red & Louie's Pizzeria,Pizza restaurant,4.6 stars ,185 reviews,"1040 Hermosa Ave, Hermosa Beach, CA 90254, United States",,"VJ62+G5 Hermosa Beach, California, USA",,,http://www.redandlouies.com/,,+1 3109218579
Pizza Nosh,Pizza restaurant,4.7 stars ,255 reviews,"30313 Canwood St #31, Agoura Hills, CA 91301, United States",Located in: Reyes Adobe Plaza,"46X9+84 Agoura Hills, California, USA",,,https://www.pizzanosh.com/,,+1 8189913000
Fratelli's NY Pizza,Pizza restaurant,4.7 stars ,291 reviews,"7301 Canoga Ave, Canoga Park, CA 91303, United States",,"6C32+5R Canoga Park, Los Angeles, CA, USA",,,https://fratellisnewyorkpizza.com/,,+1 8183462992
The Good Pizza,Pizza restaurant,4.5 stars ,545 reviews,"8115 W Manchester Ave, Playa Del Rey, CA 90293, United States",Located in: Playa del Rey Center,"XH56+GP Playa Del Rey, Los Angeles, CA, USA",,,https://thegoodpizza.com/goodpizzaplaya,,+1 3108270500
Slice of New York Pizza,Pizza restaurant,4.6 stars ,539 reviews,"142 Main St, Seal Beach, CA 90740, United States",,"PVRW+C3 Seal Beach, California, USA",,,,,+1 5624934430
Brooklyn Brick Oven Pizza,Pizza restaurant,4.4 stars ,218 reviews,"500 S Sepulveda Blvd, Manhattan Beach, CA 90266, United States",Floor 1 · PACIFIC PLACE,"VJG3+3P Manhattan Beach, California, USA",,,https://slicelife.com/restaurants/ca/manhattan-beach/90266/brooklyn-brick-oven-pizza/menu?dw_discount_banner=true&dw_hamburger_additional_links=true&utm_campaign=direct_websites,,+1 3103796599
"Valentino's Brooklyn Style Pizza, Pasta & Subs",Pizza restaurant,4.5 stars ,457 reviews,"975 Aviation Blvd, Manhattan Beach, CA 90266, United States",,"VJPC+59 Manhattan Beach, California, USA",,,https://www.valentinospizza.net/,,+1 3103185959
Thunderbolt Pizza,Pizza restaurant,4.6 stars ,365 reviews,"4085 Atlantic Ave, Long Beach, CA 90807, United States",,"RRJ7+JR Long Beach, California, USA",,,http://thunderboltpizza.com/,,+1 5624261900
Napoli's Pizza Kitchen,Italian restaurant,4.6 stars ,549 reviews,"14831 Burbank Blvd, Sherman Oaks, CA 91411, United States",,"5GCV+WC Sherman Oaks, Los Angeles, CA, USA",,,https://www.napolispizzakitchen.com/,,+1 8189090100
Fat Tomato Pizza,Pizza restaurant,4.7 stars ,172 reviews,"11911 W Olympic Blvd, Los Angeles, CA 90064, United States",,"2GMW+5R Los Angeles, California, USA",,,http://www.gofattomato.com/,,+1 3109972285
Pitfire Pizza,Pizza restaurant,4.5 stars ,"1,131 reviews","5203 Lankershim Blvd, North Hollywood, CA 91601, United States",,"5J8F+2W North Hollywood, Los Angeles, CA, USA",,,http://www.pitfirepizza.com/,,+1 8189802949
Savor Stone Hearth Pizza and Wine,Pizza restaurant,4.2 stars ,112 reviews,"1855 S Harbor Blvd, Anaheim, CA 92802, United States",Floor 1 · Sheraton Park Hotel at the Anaheim Resort,"R32M+9J Anaheim, California, USA",,,https://www.savorpizzaandwine.com/,,+1 7147051456
Folliero's Italian Food and Pizza,Italian restaurant,4.6 stars ,"1,400 reviews","5566 N Figueroa St, Los Angeles, CA 90042, United States",,"4R54+F9 Los Angeles, California, USA",,,http://www.follierospizza.com/,,+1 3232540505
GiGi's Pizza,Pizza restaurant,4.5 stars ,285 reviews,"16006 Crenshaw Blvd, Gardena, CA 90249, United States",,"VMPF+2F Gardena, California, USA",,,http://gigispizzagardena.com/,,+1 3103270355
Apollonia's Pizzeria,Pizza restaurant,4.4 stars ,732 reviews,"5176 Wilshire Blvd, Los Angeles, CA 90036, United States",,"3M64+PW Los Angeles, California, USA",,,http://www.apolloniaspizzeria.com/,,+1 3239372823
Pizza Pie Eatery,Pizza restaurant,4.8 stars ,87 reviews,"19946 Ventura Blvd, Woodland Hills, CA 91364, United States",Floor 1 · Winnetka Square,"5CCJ+HX Woodland Hills, Los Angeles, CA, USA",,,http://www.pizzapieeatery.com/,,+1 8189625555
Two Doughs Pizza Co.,Pizza restaurant,4.6 stars ,224 reviews,"28860 Roadside Dr, Agoura Hills, CA 91301, United States",Located in: Whizin Market Square,"46VW+R8 Agoura Hills, California, USA",,,http://twodoughs.com/,,+1 8187072121
Vito's Pizza,Pizza restaurant,4.5 stars ,601 reviews,"846 N La Cienega Blvd #4708, Los Angeles, CA 90069, United States",,"3JPF+JH Los Angeles, California, USA",,,http://www.vitopizza.com/,,+1 3106526859
Tomato Pie Pizza Joint (Woodland Hills),Pizza restaurant,4.7 stars ,89 reviews,"4902 Topanga Canyon Blvd, Woodland Hills, CA 91364, United States",,"594V+VQ Woodland Hills, Los Angeles, CA, USA",,,http://tomatopiepizzajoint.com/,,+1 7478889400
Dino's Pizza,Pizza restaurant,4.5 stars ,916 reviews,"3520 Burbank Blvd, Burbank, CA 91505, United States",,"5MF2+VC Burbank, California, USA",,,https://dinosburbank.com/,,+1 8188413311
The Doughroom,Italian restaurant,4.5 stars ,642 reviews,"3409 Overland Ave, Los Angeles, CA 90034, United States",,"2HGP+6W Los Angeles, California, USA",,,http://thedoughroom.com/,,+1 4242586194
Daniele's Wood-Fired Pizza,Pizza restaurant,4.6 stars ,233 reviews,"4822 Laurel Canyon Blvd, Valley Village, CA 91607, United States",Located in: Laurel Canyon Plaza,"5J53+8H Valley Village, Los Angeles, CA, USA",,,https://danielepizza.com/,,+1 8189808555
Topanga Pizza,Pizza restaurant,4.6 stars ,362 reviews,"22994 Ventura Blvd, Woodland Hills, CA 91364, United States",,"597F+R9 Woodland Hills, Los Angeles, CA, USA",,,https://topangapizza.com/?utm_source=google,,+1 8182224944
Delicious Pizza,Pizza restaurant,4.5 stars ,"1,067 reviews","5419 W Adams Blvd, Los Angeles, CA 90016, United States",,"2JMQ+3J Los Angeles, California, USA",,,http://www.deliciouspizza.com/,,+1 3234243014
Parma's Pizzeria,Pizza restaurant,4.5 stars ,68 reviews,"5649 Kanan Rd, Agoura Hills, CA 91301, United States",,"563R+57 Agoura Hills, California, USA",,,http://parmaspizzeria.com/,,+1 8183181079
Oggi's Pizza & Brewing Co,Pizza restaurant,4.2 stars ,"1,510 reviews","12362 Chapman Ave, Garden Grove, CA 92840, United States",,"Q3QM+G5 Garden Grove, California, USA",,,https://www.oggis.com/location/oggis-sports-brewhouse-pizza-garden-grove/,,+1 7145343599
Hot Tongue Pizza,Pizza restaurant,4.7 stars ,305 reviews,"2590 Glendale Blvd, Los Angeles, CA 90039, United States",,"4P4R+47 Los Angeles, California, USA",,,https://www.hottonguepizza.com/,,+1 3237410180
Paisanos Pizza & Pasta,Pizza restaurant,4.5 stars ,903 reviews,"1132 Hermosa Ave, Hermosa Beach, CA 90254, United States",,"VJ62+Q4 Hermosa Beach, California, USA",,,https://www.paisanospizzahb.com/,,+1 3103769883
Abbot's Pizza Company,Pizza restaurant,4.3 stars ,801 reviews,"1407 Abbot Kinney Blvd, Venice, CA 90291, United States",,"XGRM+8Q Venice, Los Angeles, CA, USA",,,http://www.abbotspizzaco.com/,,+1 3103967334
Pizza Boy,Pizza restaurant,4.6 stars ,376 reviews,"1321 E Colorado St, Glendale, CA 91205, United States",,"4QV7+58 Glendale, California, USA",,,http://www.pizzaboy.us/,,+1 8182475555
Rocco's Neighborhood Pizza,Pizza restaurant,4.4 stars ,643 reviews,"6335 Wilshire Blvd, Los Angeles, CA 90048, United States",,"3J7M+F9 Los Angeles, California, USA",,,https://roccospizza.la/?y_source=1_MTA0NTQzNzk3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,+1 3236550058
Fernanda's NY Pizza,Pizza restaurant,4.6 stars ,367 reviews,"10604 Ventura Blvd, Studio City, CA 91604, United States",,"4JPP+VF Studio City, Los Angeles, CA, USA",,,https://www.fernandasstudiocity.com/,,+1 8187622335
Mulberry Street Pizzeria,Pizza restaurant,4.3 stars ,445 reviews,"240 S Beverly Dr, Beverly Hills, CA 90212, United States",,"3J72+9F Beverly Hills, California, USA",,,http://www.mulberrypizzeria.com/,,+1 3102478100
RED DEVIL PIZZA*COVINA*,Pizza restaurant,4.4 stars ,799 reviews,"116 W Badillo St, Covina, CA 91724, United States",,"34P5+FP Covina, California, USA",,,http://www.reddevilpizzacovina.com/,,+1 6269664484
Chicago Stuffed Pizza Co.,Pizza restaurant,4.5 stars ,259 reviews,"7965 Melrose Ave, Los Angeles, CA 90046, United States",,"3JMP+HM Los Angeles, California, USA",,,https://www.chicagostuffedpizzacomenu.com/?utm_source=gbp,,+1 3238799773
Waleeto's Pizza,Pizza restaurant,4.6 stars ,340 reviews,"3914 Rosecrans Ave #8020, Hawthorne, CA 90250, United States",,"WM25+63 Hawthorne, California, USA",,,https://www.waleetospizza.com/?utm_source=gbp,,+1 3106751111
Joe Peeps' NY Pizza,Pizza restaurant,4.5 stars ,651 reviews,"12460 Magnolia Blvd, Valley Village, CA 91607, United States",,"5H7V+VX Valley Village, Los Angeles, CA, USA",,,http://www.joepeeps.com/,,+1 8185064133
Papa Guido's Pizza,Pizza restaurant,4.5 stars ,403 reviews,"1521 Aviation Blvd, Redondo Beach, CA 90278, United States",,"VJ98+GQ Redondo Beach, California, USA",,,http://www.papaguidos.com/,,+1 3109378000
